Stato,Popolazione (1-4-2020),Capitali.Capitale,"Codes and abbreviations for U S  states, federal district, territories, and ot.1"
Carolina del Nord,10439388,,
Carolina del Sud,5118425,,
Dakota del Nord,779094,,
Dakota del Sud,886667,,
Distretto di Columbia,689545,,
Isole Marianne Settentrionali,49437,,
Isole Vergini Americane,106235,,
Nuovo Messico,2117522,,
Porto Rico,3285874,,
Samoa Americane,51433,,
Virginia Occidentale,1793716,,
Nebraska,1961504,Lincoln,""
Alaska,733391,Juneau,AK
Alabama,5024279,Montgomery,AL
Arkansas,3011524,Little Rock,AR
Arizona,7151502,Phoenix,AZ
California,39538223,Sacramento,CA
Colorado,5773714,Denver,CO
Connecticut,3605944,Hartford,CT
Delaware,989948,Dover,DE
Florida,21538187,Tallahassee,FL
Georgia,10711908,Atlanta,GA
Guam,168485,,GU
Hawaii,1455271,Honolulu,HI
Iowa,3190369,Des Moines,IA
Idaho,1839106,Boise,ID
Illinois,12812508,Springfield,IL
Indiana,6785528,Indianapolis,IN
Kansas,2937880,Topeka,KS
Kentucky,4505836,Frankfort,KY
Louisiana,4657757,Baton Rouge,LA
Massachusetts,7029917,Boston,MA
Maryland,6177224,Annapolis,MD
Maine,1362359,Augusta,ME
Michigan,10077331,Lansing,MI
Minnesota,5706494,Saint Paul,MN
Missouri,6154913,Jefferson City,MO
Mississippi,2961279,Jackson,MS
Montana,1084225,Helena,MT
Nebraska,1961504,Lincoln,NE
New Hampshire,1377529,Concord,NH
New Jersey,9288994,,NJ
Nevada,3104614,Carson City,NV
New York,20201249,Albany,NY
Ohio,11799448,Columbus,OH
Oklahoma,3959353,Oklahoma City,OK
Oregon,4237256,Salem,OR
Pennsylvania,13002700,Harrisburg,PA
Rhode Island,1097379,Providence,RI
Tennessee,6910840,Nashville,TN
Texas,29145505,Austin,TX
Utah,3271616,Salt Lake City,UT
Virginia,8631393,Richmond,VA
Vermont,643077,Montpelier,VT
Washington,7705281,Olympia,WA
Wisconsin,5893718,Madison,WI
Wyoming,576851,Cheyenne,WY
